date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:43	46/46	---M-Z	200	added ('OK')	text/plain	date:Sat,%2030%20Jul%202022%2011:09:42%20GMT	http://www.himalayan.com/robots.txt		(from )
16:40:09	69102/69102	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:09:43%20GMT	http://www.himalayan.com/	D:/himalyan/himalyan/www.himalayan.com/index.html	(from )
16:40:12	19430/19430	---M--	200	added ('OK')	image/png	etag:%225321bb5-4be6-5a02dcb0d9ad2%22	http://www.himalayan.com/wp-content/uploads/2019/08/output-onlinepngtools_favicon.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/output-onlinepngtools_favicon.png	(from http://www.himalayan.com/)
16:40:13	2446/2446	---M-Z	200	added ('OK')	text/css	etag:%2253216b1-98e-5daf16d1e8a28-gzip%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/css/style.css	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/css/style.css	(from http://www.himalayan.com/)
16:40:17	3252/3252	---M-Z	200	added ('OK')	text/css	etag:%2253216ba-cb4-5b9b82a88ee27-gzip%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/css/developer.css	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/css/developer.css	(from http://www.himalayan.com/)
16:40:22	2390/2390	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-956%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick-theme.min.css	D:/himalyan/himalyan/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick-theme.min.css	(from http://www.himalayan.com/)
16:40:23	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.css	D:/himalyan/himalyan/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.css	(from http://www.himalayan.com/)
16:40:24	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%225321588-6f0-5a02dcb0ceb09-gzip%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/slick/slick.css	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/slick/slick.css	(from http://www.himalayan.com/)
16:40:25	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%225321593-c49-5a02dcb0ceef1-gzip%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/slick/slick-theme.css	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/slick/slick-theme.css	(from http://www.himalayan.com/)
16:40:28	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%2253216d6-9e4-5a02dcb0cdf51-gzip%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/css/lightbox.min.css	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/css/lightbox.min.css	(from http://www.himalayan.com/)
